ID	E15_S89_known_profiled_metagenome	E19b_S88_known_profiled_metagenome	E28_S87_known_profiled_metagenome	E5b_S84_known_profiled_metagenome	E7_S78_known_profiled_metagenome	E8_S74_known_profiled_metagenome	R21b_S76_known_profiled_metagenome	R24_S82_known_profiled_metagenome	R5_S75_known_profiled_metagenome	R6_S81_known_profiled_metagenome	S11b_S73_known_profiled_metagenome	S11_S83_known_profiled_metagenome	S13_S79_known_profiled_metagenome	S22b_S90_known_profiled_metagenome	S22_S77_known_profiled_metagenome	S3b_S86_known_profiled_metagenome	S4_S85_known_profiled_metagenome	S9_S80_known_profiled_metagenome
k__Bacteria	97.65801	99.37595	96.86904	93.72727	97.30751	96.97202	99.28079	99.51966	97.7252	99.77435	99.13651	97.13792	99.71291	99.81773	98.82742	96.79303	96.87159	98.24866
k__Bacteria|p__Actinobacteria	1.7727	35.18209	0.9358	1.73347	1.61261	1.83636	0.89332	1.38952	1.59392	2.32794	1.11673	2.29589	1.62908	21.00678	0.84331	11.8535	0.99145	2.12132
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.0	33.99356	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.50706	0.0	11.21542	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	0.0	33.99356	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.50706	0.0	11.21542	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	0.0	33.99356	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.50706	0.0	11.21542	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium	0.0	33.99356	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.50706	0.0	11.21542	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudolongum	0.0	33.99356	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.50706	0.0	11.21542	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	1.7727	1.18852	0.9358	1.73347	1.61261	1.83636	0.89332	1.38952	1.59392	2.32794	1.11673	2.29589	1.62908	0.49971	0.84331	0.63808	0.99145	2.12132
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	1.7727	1.18852	0.9358	1.73347	1.61261	1.83636	0.89332	1.38952	1.59392	2.32794	1.11673	2.29589	1.62908	0.49971	0.84331	0.63808	0.99145	2.12132
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae	1.7727	1.18852	0.9358	1.73347	1.61261	1.83636	0.89332	1.38952	1.59392	2.32794	1.11673	2.29589	1.62908	0.49971	0.84331	0.63808	0.99145	2.12132
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Adlercreutzia	0.01522	0.02269	0.00986	0.01337	0.02927	0.04169	0.0129	0.0	0.02503	0.05092	0.01569	0.03171	0.04299	0.01102	0.02144	0.01528	0.01784	0.03676
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Adlercreutzia|s__Adlercreutzia_equolifaciens	0.01522	0.02269	0.00986	0.01337	0.02927	0.04169	0.0129	0.0	0.02503	0.05092	0.01569	0.03171	0.04299	0.01102	0.02144	0.01528	0.01784	0.03676
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Asaccharobacter	0.06825	0.02827	0.02306	0.02648	0.02673	0.03658	0.02223	0.00543	0.03252	0.06713	0.02811	0.04405	0.0396	0.01511	0.00854	0.01129	0.01096	0.06209
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Asaccharobacter|s__Asaccharobacter_celatus	0.06825	0.02827	0.02306	0.02648	0.02673	0.03658	0.02223	0.00543	0.03252	0.06713	0.02811	0.04405	0.0396	0.01511	0.00854	0.01129	0.01096	0.06209
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Enterorhabdus	1.68923	1.13757	0.90287	1.69362	1.55661	1.75809	0.8582	1.3841	1.53637	2.20989	1.07292	2.22013	1.54649	0.47359	0.81333	0.61152	0.96265	2.02247
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Enterorhabdus|s__Enterorhabdus_caecimuris	1.68923	1.13757	0.90287	1.69362	1.55661	1.75809	0.8582	1.3841	1.53637	2.20989	1.07292	2.22013	1.54649	0.47359	0.81333	0.61152	0.96265	2.02247
k__Bacteria|p__Bacteroidetes	78.2402	32.70519	52.37935	66.28158	71.63378	61.57496	48.04354	31.36669	81.27327	74.64803	24.7348	84.28135	30.56492	21.1971	39.46583	67.67877	73.61968	51.65058
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	66.25575	26.20368	45.10869	61.50283	64.5696	55.18439	40.09843	24.91439	70.00547	59.18406	22.98484	77.64763	19.95318	13.96351	34.28963	59.18285	55.87182	37.5055
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	66.25575	26.20368	45.10869	61.50283	64.5696	55.18439	40.09843	24.91439	70.00547	59.18406	22.98484	77.64763	19.95318	13.96351	34.28963	59.18285	55.87182	37.5055
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2.57402	1.03313	2.58441	5.52997	4.55413	2.52983	1.46428	2.77514	8.90767	1.47206	0.87271	4.22791	0.60317	0.46695	2.50889	4.48199	6.83279	1.09368
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	2.57402	1.03313	2.58441	5.52997	4.55413	2.52983	1.46428	2.77514	8.90767	1.47206	0.87271	4.22791	0.60317	0.46695	2.50889	4.48199	6.83279	1.09368
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_caecimuris	1.47431	0.87626	2.41045	2.6891	2.44399	1.80747	1.19513	1.24464	2.71021	0.71312	0.44067	2.54004	0.36697	0.41677	0.77984	3.20017	4.43957	0.94188
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_faecichinchillae	0.0	0.0	0.0	0.0	0.0	0.11143	0.0	0.0	0.05074	0.0	0.0	0.02029	0.0	0.00955	0.023	0.086	0.0	0.00903
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_intestinalis	0.0	0.0	0.0	0.0	0.15422	0.01818	0.0	0.0	0.0	0.0	0.0	0.02445	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_thetaiotaomicron	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03919	0.0	0.03418	0.0	0.0	0.01474	0.02004	0.0	0.0	0.0	0.00635
