ID	E12_S66_known_profiled_metagenome	E1_S65_known_profiled_metagenome	E23_S55_known_profiled_metagenome	E25_S63_known_profiled_metagenome	E30_S56_known_profiled_metagenome	E3_S64_known_profiled_metagenome	E9b_S70_known_profiled_metagenome	R10b_S57_known_profiled_metagenome	R10_S69_known_profiled_metagenome	R14_S71_known_profiled_metagenome	R21_S60_known_profiled_metagenome	R26_S67_known_profiled_metagenome	R29_S61_known_profiled_metagenome	R2_S58_known_profiled_metagenome	R6b_S54_known_profiled_metagenome	R7b_S68_known_profiled_metagenome	S20b_S59_known_profiled_metagenome	S27_S72_known_profiled_metagenome	S2b_S62_known_profiled_metagenome
k__Bacteria	99.38983	99.35476	98.68678	97.78353	99.3502	99.03451	99.29435	96.97176	93.44192	99.03263	99.27861	99.45435	98.25878	97.98215	99.10268	98.08979	98.03496	90.73019	69.85801
k__Bacteria|p__Actinobacteria	2.85499	2.39486	2.72933	47.83572	1.4908	1.63827	20.69807	14.24166	1.8956	2.22157	3.56187	71.56411	1.82999	2.5511	1.70798	1.97804	34.59744	1.07005	12.88944
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.0	0.0	1.74936	46.93049	0.0	0.71209	19.9657	11.61847	0.0	0.0	0.0	70.28168	0.0	0.0	0.0	0.0	31.72024	0.0	10.6155
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	0.0	0.0	1.74936	46.93049	0.0	0.71209	19.9657	11.61847	0.0	0.0	0.0	70.28168	0.0	0.0	0.0	0.0	31.72024	0.0	10.6155
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	0.0	0.0	1.74936	46.93049	0.0	0.71209	19.9657	11.61847	0.0	0.0	0.0	70.28168	0.0	0.0	0.0	0.0	31.72024	0.0	10.6155
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium	0.0	0.0	1.74936	46.93049	0.0	0.71209	19.9657	11.61847	0.0	0.0	0.0	70.28168	0.0	0.0	0.0	0.0	31.72024	0.0	10.6155
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudolongum	0.0	0.0	1.74936	46.93049	0.0	0.71209	19.9657	11.61847	0.0	0.0	0.0	70.28168	0.0	0.0	0.0	0.0	31.72024	0.0	10.6155
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2.85499	2.39486	0.97998	0.90523	1.4908	0.92618	0.73237	2.62319	1.8956	2.22157	3.56187	1.28243	1.82999	2.5511	1.70798	1.97804	2.8772	1.07005	2.27394
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2.85499	2.39486	0.97998	0.90523	1.4908	0.92618	0.73237	2.62319	1.8956	2.22157	3.56187	1.28243	1.82999	2.5511	1.70798	1.97804	2.8772	1.07005	2.27394
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae	2.85499	2.39486	0.97998	0.90523	1.4908	0.92618	0.73237	2.62319	1.8956	2.22157	3.56187	1.28243	1.82999	2.5511	1.70798	1.97804	2.8772	1.07005	2.27394
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Adlercreutzia	0.05423	0.03506	0.01153	0.01412	0.03051	0.0	0.01825	0.04533	0.01906	0.04023	0.04791	0.01381	0.04743	0.04462	0.00712	0.02831	0.06023	0.01183	0.02226
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Adlercreutzia|s__Adlercreutzia_equolifaciens	0.05423	0.03506	0.01153	0.01412	0.03051	0.0	0.01825	0.04533	0.01906	0.04023	0.04791	0.01381	0.04743	0.04462	0.00712	0.02831	0.06023	0.01183	0.02226
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Asaccharobacter	0.07194	0.0282	0.02227	0.02782	0.04186	0.0	0.01777	0.06119	0.03526	0.05094	0.0669	0.04167	0.03436	0.02893	0.02066	0.02386	0.06373	0.02512	0.0339
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Asaccharobacter|s__Asaccharobacter_celatus	0.07194	0.0282	0.02227	0.02782	0.04186	0.0	0.01777	0.06119	0.03526	0.05094	0.0669	0.04167	0.03436	0.02893	0.02066	0.02386	0.06373	0.02512	0.0339
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Enterorhabdus	2.72883	2.3316	0.94619	0.8633	1.41844	0.92618	0.69634	2.51668	1.84128	2.1304	3.44706	1.22694	1.74819	2.47755	1.68021	1.92587	2.75324	1.03309	2.21778
